File Path,Stage1,Stage2,Stage3,Stage4,Stage5,Total Flowers Detected
16a89547-42b6-4643-a64c-4757f65b08ea_smaller.jpg,29,40,43,1,0,113
P1070787_smaller.JPG,117,154,10,19,0,300
P1070782_smaller.JPG,181,114,5,0,0,300
P1070850_smaller.JPG,40,90,40,31,1,202
P1070813_smaller.JPG,13,83,99,61,9,265
P1070772_smaller.JPG,180,119,4,0,0,303
P1070802_smaller.JPG,136,61,3,4,0,204
P1080267_smaller.JPG,14,87,48,7,0,156
P1080385_smaller.JPG,80,26,3,0,0,109
P1080298_smaller.JPG,234,24,0,0,0,258
P1080295_smaller.JPG,111,31,1,0,0,143
P1070816_smaller.JPG,7,73,103,83,12,278
P1080396_smaller.JPG,10,82,176,30,2,300
P1080416_smaller.JPG,36,166,14,8,3,227
P1080523_smaller.JPG,3,33,96,104,64,300
P1080765_smaller.JPG,75,33,23,1,0,132
P1090036_smaller.JPG,177,23,1,0,0,201
P1080865_smaller.JPG,50,37,9,1,0,97
P1080935_smaller.JPG,221,75,7,0,0,303
P1090079_smaller.JPG,55,49,2,0,0,106
P1090424_smaller.JPG,224,74,2,0,0,300
P1090388_smaller.JPG,218,32,29,21,0,300
P1090361_smaller.JPG,3,14,149,128,6,300
P1090845_smaller.JPG,176,87,27,10,0,300
P1090689_smaller.JPG,39,42,17,0,0,98
P1100284_smaller.JPG,298,52,33,2,0,385
P1090850_smaller.JPG,132,120,33,9,1,295
P1100310_smaller.JPG,121,11,224,57,3,416
P1100752_smaller.JPG,0,2,58,104,136,300
P1100762_smaller.JPG,0,1,34,107,158,300
P1100915_smaller.JPG,0,8,62,156,74,300
P1110425_smaller.JPG,1,25,76,82,61,245
P1120163_smaller.JPG,1,10,8,28,8,55
P1120305_smaller.JPG,164,136,0,0,0,300
P1110432_smaller.JPG,15,162,77,46,0,300
P1120421_smaller.JPG,46,62,28,20,0,156
P1120376_smaller.JPG,1,3,11,22,4,41
P1120176_smaller.JPG,3,3,59,102,59,226
P1120399_smaller.JPG,39,5,0,3,1,48
P1120492_smaller.JPG,19,48,48,16,0,131
P1120687_smaller.JPG,13,129,127,23,8,300
P1120677_smaller.JPG,1,20,158,95,26,300
P1120695_smaller.JPG,20,56,98,31,0,205
P1120813_smaller.JPG,24,118,17,2,0,161
P1120784_smaller.JPG,43,124,42,9,0,218
P1120899_smaller.JPG,22,82,23,4,0,131
P1120796_smaller.JPG,47,104,37,4,0,192
P1120896_smaller.JPG,9,213,11,3,0,236
P1120909_smaller.JPG,3,72,10,4,0,89
P1120952_smaller.JPG,93,73,3,0,0,169
P1120989_smaller.JPG,21,14,114,135,39,323
P1120979_smaller.JPG,6,16,114,126,42,304
P1120939_smaller.JPG,8,5,43,161,98,315
P1130204_smaller.JPG,72,13,4,1,0,90
P1130040_smaller.JPG,92,63,1,0,0,156
P1130070_smaller.JPG,0,5,96,125,74,300
P1130107_smaller.JPG,42,138,25,0,0,205
P1130306_smaller.JPG,137,84,75,4,0,300
P1130462_smaller.JPG,37,80,19,0,1,137
P1130485_smaller.JPG,31,49,23,0,0,103
P1130641_smaller.JPG,29,167,97,7,0,300
P1130629_smaller.JPG,63,119,66,17,2,267
P1130592_smaller.JPG,0,131,124,44,1,300
P1130565_smaller.JPG,51,164,80,5,0,300
P1130320_smaller.JPG,162,85,50,3,0,300
P1140048_smaller.JPG,43,90,19,3,0,155
P1130960_smaller.JPG,109,52,4,0,0,165
P1140067_smaller.JPG,1,5,40,27,48,121
P1140532_smaller.JPG,0,1,36,76,54,167
P1150774_smaller.JPG,10,137,31,2,1,181
P1150764_smaller.JPG,9,205,73,13,0,300
P1140408_smaller.JPG,0,1,25,27,2,55
P1150493_smaller.JPG,2,0,3,169,105,279
P1150914_smaller.JPG,1,2,0,2,0,5
P1150433_smaller.JPG,0,3,55,185,57,300
P1160020_smaller.JPG,0,4,199,92,5,300
P1160449_smaller.JPG,11,15,37,2,0,65
P1160433_smaller.JPG,0,0,159,149,0,308
