File Path,Most Common Stage,Total Flowers Detected
testing/16a89547-42b6-4643-a64c-4757f65b08ea_smaller.jpg,Stage3,113
testing/P1070772_smaller.JPG,Stage1,14
testing/P1070787_smaller.JPG,Stage3,2
testing/P1070802_smaller.JPG,Stage1,10
testing/P1070813_smaller.JPG,Stage2,18
testing/P1080267_smaller.JPG,Stage2,9
testing/P1080298_smaller.JPG,Stage1,11
testing/P1080396_smaller.JPG,Stage3,17
testing/P1080416_smaller.JPG,Stage2,21
testing/P1080765_smaller.JPG,Stage1,12
testing/P1080865_smaller.JPG,Stage2,1
testing/P1080935_smaller.JPG,Stage1,10
testing/P1100915_smaller.JPG,Stage5,300
testing/P1120305_smaller.JPG,Stage1,13
testing/P1120695_smaller.JPG,Stage3,17
testing/P1120784_smaller.JPG,Stage1,6
testing/P1120796_smaller.JPG,Stage3,4
testing/P1120813_smaller.JPG,Stage2,14
testing/P1120896_smaller.JPG,Stage2,17
testing/P1120909_smaller.JPG,Stage2,22
testing/P1120939_smaller.JPG,Stage5,120
testing/P1120989_smaller.JPG,Stage2,2
testing/P1130040_smaller.JPG,Stage2,13
testing/P1130204_smaller.JPG,Stage3,9
testing/P1130565_smaller.JPG,Stage1,58
testing/P1130629_smaller.JPG,Stage3,26
testing/P1130641_smaller.JPG,Stage3,34
testing/P1140067_smaller.JPG,Stage3,300
testing/P1150433_smaller.JPG,Stage4,304
testing/P1160593_smaller.JPG,Stage1,3
testing/P1180395_smaller.JPG,Stage5,233
testing/P1180466_smaller.JPG,Stage2,4
testing/P1190699_smaller.JPG,Stage1,10
testing/P1200118_smaller.JPG,Stage3,24
testing/P1200138_smaller.JPG,Stage1,1
testing/P1200378_smaller.JPG,Stage4,126
testing/P1200579_smaller.JPG,Stage1,6
testing/P1200592_smaller.JPG,Stage2,12
testing/P1200831_smaller.JPG,Stage2,2
testing/P1200890_smaller.JPG,Stage3,8
testing/P1200900_smaller.JPG,Stage1,11
testing/P1210303_smaller.JPG,Stage1,26
testing/P1210546_smaller.JPG,Stage2,54
testing/P1210576_smaller.JPG,Stage3,126
test/P1200913_smaller.JPG,None,0
test/P1120979_smaller.JPG,None,0
test/P1210171_smaller.JPG,None,0
test/P1090424_smaller.JPG,None,0

